start_date,bike_nr,Distribution
0,230412.0,0.1459204255790757
1,231822.0,0.14681338167540095
2,238797.0,0.15123066449232914
3,234839.0,0.14872405440065864
4,231340.0,0.14650813001694082
5,215791.0,0.13666091417171988
6,196024.0,0.12414242966387486
